BondID,State,CreditRating,Sector,Coupon,IssueDate,MaturityDate,Price,Yield,Duration
BOND0000,NY,AA,Public Safety,3.92,2015-02-01,2024-02-01,90.03,3.04,4.73
BOND0001,TX,AA,Public Safety,4.75,2014-07-01,2034-07-01,108.44,3.3,6.11
BOND0002,CA,AA,Education,2.78,2011-03-01,2017-03-01,102.97,2.07,8.45
BOND0003,FL,AA,Public Safety,3.75,2013-08-01,2022-08-01,106.65,3.16,5.57
BOND0004,NY,AA,Public Safety,5.23,2019-12-01,2036-12-01,109.7,2.88,6.56
BOND0005,NY,AA,Transportation,2.09,2010-10-01,2025-10-01,93.94,2.63,6.47
BOND0006,TX,A,Public Safety,3.55,2018-01-01,2033-01-01,108.98,3.56,7.92
BOND0007,NY,AA,Transportation,4.32,2022-05-01,2031-05-01,97.88,2.01,7.17
BOND0008,NY,AA,Public Safety,2.91,2015-06-01,2023-06-01,109.82,2.35,8.72
BOND0009,NY,AAA,Education,5.27,2022-06-01,2028-06-01,91.39,1.52,3.47
BOND0010,CA,A,Education,3.58,2016-02-01,2036-02-01,102.09,4.93,5.68
BOND0011,FL,A,Education,4.32,2014-10-01,2021-10-01,97.88,4.94,5.93
BOND0012,CA,AA,Public Safety,3.99,2022-09-01,2034-09-01,102.33,3.01,4.93
BOND0013,IL,AA,Utilities,2.36,2015-06-01,2027-06-01,106.1,2.08,7.05
BOND0014,TX,AA,Transportation,5.47,2017-05-01,2030-05-01,92.99,2.84,8.85
BOND0015,TX,AAA,Public Safety,4.08,2022-03-01,2038-03-01,100.0,1.63,3.62
BOND0016,NY,AA,Education,5.35,2015-10-01,2031-10-01,93.82,2.51,3.4
BOND0017,FL,A,Transportation,4.93,2018-03-01,2024-03-01,98.25,4.2,4.18
BOND0018,FL,A,Education,3.72,2015-10-01,2027-10-01,92.89,4.33,9.57
BOND0019,CA,A,Transportation,4.2,2010-08-01,2024-08-01,98.74,4.31,8.66
BOND0020,TX,A,Public Safety,4.52,2011-04-01,2030-04-01,100.32,3.93,6.6
BOND0021,IL,AA,Transportation,3.38,2016-07-01,2033-07-01,97.03,2.29,4.8
BOND0022,NY,A,Education,3.49,2014-05-01,2027-05-01,99.6,4.99,6.99
BOND0023,FL,AA,Healthcare,2.65,2020-02-01,2034-02-01,99.52,2.98,8.16
BOND0024,CA,A,Utilities,2.07,2012-11-01,2030-11-01,91.0,4.45,3.77
BOND0025,FL,AA,Public Safety,3.67,2013-12-01,2025-12-01,109.07,3.22,6.67
BOND0026,IL,AA,Utilities,4.55,2011-05-01,2029-05-01,102.37,3.1,7.23
BOND0027,TX,A,Transportation,2.66,2020-12-01,2025-12-01,91.5,4.4,3.27
BOND0028,CA,A,Utilities,2.72,2022-04-01,2033-04-01,96.17,4.0,3.84
BOND0029,TX,AA,Utilities,3.55,2022-01-01,2037-01-01,103.07,2.03,8.37
BOND0030,FL,A,Healthcare,2.44,2020-03-01,2034-03-01,96.43,3.65,5.84
BOND0031,CA,AA,Education,3.44,2015-07-01,2028-07-01,99.43,2.88,9.9
BOND0032,TX,AA,Transportation,3.49,2022-04-01,2042-04-01,104.13,3.21,5.09
BOND0033,FL,A,Education,2.0,2019-08-01,2035-08-01,96.64,4.43,7.95
BOND0034,IL,A,Education,2.24,2016-08-01,2035-08-01,92.28,4.46,5.1
BOND0035,CA,A,Utilities,3.68,2020-03-01,2039-03-01,99.24,3.53,9.49
BOND0036,FL,A,Public Safety,2.85,2010-10-01,2017-10-01,99.84,3.99,8.9
BOND0037,CA,A,Education,4.04,2015-10-01,2031-10-01,107.36,4.34,6.43
BOND0038,TX,AA,Healthcare,3.63,2013-11-01,2023-11-01,98.06,2.08,9.96
BOND0039,FL,AA,Healthcare,2.15,2013-09-01,2028-09-01,96.31,3.42,6.93
BOND0040,FL,A,Public Safety,5.16,2010-03-01,2027-03-01,106.6,3.67,6.76
BOND0041,FL,AA,Transportation,5.21,2010-03-01,2021-03-01,93.6,1.84,8.89
BOND0042,FL,AAA,Education,3.23,2017-01-01,2031-01-01,101.18,1.79,3.34
BOND0043,NY,A,Transportation,4.99,2015-02-01,2030-02-01,95.57,3.67,4.48
BOND0044,NY,AA,Utilities,4.47,2014-11-01,2023-11-01,95.77,2.76,9.28
BOND0045,NY,AA,Education,4.77,2019-12-01,2033-12-01,109.35,2.67,8.52
BOND0046,NY,AA,Healthcare,3.8,2013-11-01,2028-11-01,94.28,3.05,4.75
BOND0047,NY,AA,Public Safety,3.6,2020-01-01,2030-01-01,101.73,3.39,9.36
BOND0048,CA,AA,Public Safety,3.25,2012-03-01,2030-03-01,107.64,3.0,9.0
BOND0049,TX,AA,Public Safety,4.84,2016-09-01,2034-09-01,96.48,2.46,3.61
BOND0050,CA,A,Public Safety,4.29,2018-07-01,2025-07-01,93.83,4.87,9.44
BOND0051,CA,AA,Public Safety,3.35,2010-02-01,2028-02-01,105.3,2.28,8.55
BOND0052,CA,A,Education,4.15,2016-08-01,2027-08-01,91.42,4.2,8.59
BOND0053,IL,A,Transportation,5.22,2021-03-01,2026-03-01,90.72,3.96,3.14
BOND0054,IL,AA,Utilities,4.05,2019-06-01,2024-06-01,92.04,3.47,9.68
BOND0055,NY,A,Transportation,4.62,2022-11-01,2029-11-01,103.41,3.82,3.32
BOND0056,TX,A,Education,2.95,2012-05-01,2024-05-01,105.53,4.81,3.48
BOND0057,FL,AAA,Transportation,3.2,2019-01-01,2037-01-01,91.71,1.7,3.57
BOND0058,CA,AA,Healthcare,4.18,2014-10-01,2022-10-01,97.07,2.98,8.86
BOND0059,CA,AA,Education,5.47,2014-08-01,2021-08-01,106.03,2.15,8.93
BOND0060,TX,A,Public Safety,3.27,2022-01-01,2041-01-01,102.54,4.45,3.9
BOND0061,NY,A,Transportation,3.84,2019-02-01,2024-02-01,108.73,3.6,3.92
BOND0062,FL,A,Healthcare,5.02,2017-03-01,2036-03-01,106.41,4.23,3.97
BOND0063,NY,A,Transportation,3.14,2017-07-01,2037-07-01,105.41,4.9,7.36
BOND0064,NY,AA,Public Safety,2.35,2018-06-01,2029-06-01,101.87,2.1,5.73
BOND0065,CA,A,Transportation,3.05,2015-06-01,2020-06-01,91.54,3.56,6.41
BOND0066,CA,AA,Public Safety,4.66,2022-06-01,2035-06-01,105.84,3.37,7.97
BOND0067,FL,AA,Utilities,2.26,2019-11-01,2025-11-01,98.43,3.12,5.46
BOND0068,IL,AA,Education,4.75,2020-08-01,2035-08-01,92.39,2.81,3.47
BOND0069,FL,A,Healthcare,2.9,2014-07-01,2026-07-01,100.1,3.78,7.66
BOND0070,NY,A,Public Safety,2.55,2014-03-01,2027-03-01,102.81,4.99,3.18
BOND0071,CA,A,Healthcare,2.96,2022-10-01,2027-10-01,94.33,4.51,6.46
BOND0072,CA,AA,Education,5.37,2016-03-01,2022-03-01,102.34,1.89,7.42
